Kecamatan,Kelurahan,Usia 0-4 Thn,Usia 5-9 Thn,Usia 10-14 Thn,Usian 15-19 Thn,Usia 20-24 Thn,Usia 25-29 Thn,Usia 30-34 Thn,Usia 35-39 Thn,Usia 40-44 Thn,Usia 45-49 Thn,Usia 50-54 Thn,Usia 55-59 Thn,Usia 60-64 Thn,Usia 65-69 Thn,Usia 70-74 Thn,Usia > 75 Thn
Andir,Campaka,1249,1499,1608,1509,1499,1493,1293,1465,1514,1414,1237,932,734,484,246,317
Andir,Ciroyom,1471,1835,1835,1609,1597,1556,1408,1589,1641,1316,1160,975,762,548,292,397
Andir,Dungus Cariang,1288,1500,1578,1469,1497,1473,1280,1443,1492,1464,1252,1011,788,583,349,410
Andir,Garuda,690,832,830,824,796,790,755,831,891,813,754,553,451,336,199,272
Andir,Kebon Jeruk,599,811,780,812,847,781,744,863,959,807,832,707,626,508,365,514
Andir,Maleber,1273,1571,1610,1610,1570,1497,1299,1556,1645,1629,1355,1006,828,656,378,477
Antapani,Antapani Kidul,1743,1997,1809,1681,1922,2263,2211,2030,1946,1529,1496,1537,1475,1034,495,434
Antapani,Antapani Kulon,845,907,916,820,792,905,871,943,870,778,669,560,516,385,160,139
Antapani,Antapani Tengah,1932,2048,1755,1532,1561,1922,2173,2258,1905,1462,1168,1246,1337,973,415,361
Antapani,Antapani Wetan,1451,1644,1656,1476,1450,1567,1544,1657,1504,1350,1138,1060,861,539,245,228
Arcamanik,Cisaranten Bina Harapan,909,1106,1066,988,928,909,856,978,1072,923,689,575,435,361,185,194
Arcamanik,Sindanglaya/Cisantren Endah,1385,1648,1722,1704,1715,1741,1442,1580,1601,1394,1333,1110,748,485,214,266
Arcamanik,Cisaranten Kulon,1962,2354,2095,1888,1829,1903,2017,2168,2030,1748,1481,1095,831,629,313,370
Arcamanik,Sukamiskin,1470,1743,1620,1519,1690,1837,1785,1791,1539,1396,1376,1379,1092,820,410,424
Astana Anyar,Cibadak,721,955,986,972,977,946,944,1032,1052,948,846,803,648,559,398,481
Astana Anyar,Karanganyar,324,394,465,395,449,397,430,531,512,467,450,409,391,361,267,363
Astana Anyar,Karasak,846,1141,1109,1038,990,968,883,1149,1095,1051,871,709,584,469,312,336
Astana Anyar,Nyengseret,811,979,1006,924,896,951,860,950,972,884,784,672,544,378,225,298
Astana Anyar,Panjunan,462,596,671,584,612,524,600,589,582,499,453,398,354,258,139,200
Astana Anyar,Pelindung Hewan,1396,1817,1768,1637,1592,1588,1470,1734,1619,1453,1217,1033,837,518,319,370
Babakan Ciparay,Babakan,2369,3038,2845,2545,2465,2548,2376,2745,2496,2035,1585,1276,1104,804,363,374
Babakan Ciparay,Babakan Ciparay,2626,3156,3023,2799,2770,2764,2565,2969,2786,2310,1878,1383,1152,784,388,425
Babakan Ciparay,Cirangrang,879,1067,991,887,990,968,946,1008,925,796,611,526,438,309,167,144
Babakan Ciparay,Margahayu Utara,1611,2138,2034,1861,1778,1781,1664,2036,1964,1616,1298,942,799,642,322,306
Babakan Ciparay,Margasuka,861,1129,1074,1027,1042,982,943,1071,1010,847,702,505,418,292,145,145
Babakan Ciparay,Sukahaji,2283,2837,2819,2548,2618,2513,2215,2540,2450,2205,1730,1452,1193,797,420,525
Bandung Kidul,Batununggal,1325,1599,1541,1544,1506,1551,1334,1486,1612,1400,1252,1054,768,596,380,458
Bandung Kidul,Kujangsari,1603,1995,1869,1782,1836,1800,1580,1730,1864,1652,1446,1148,817,565,325,284
Bandung Kidul,Mengger,775,888,912,934,929,905,821,881,911,842,714,588,419,256,132,188
Bandung Kidul,Wates,607,729,695,660,635,659,536,662,741,624,517,401,289,187,86,97
Bandung Kulon,Caringin,650,844,823,728,734,724,717,857,820,659,516,413,389,305,159,162
Bandung Kulon,Cibuntu,1304,1600,1686,1585,1513,1480,1346,1606,1564,1387,1075,839,657,475,231,285
Bandung Kulon,Cigondewah Kaler,1700,2021,2030,1823,1828,1651,1585,1788,1719,1489,1055,641,416,285,162,157
Bandung Kulon,Cigondewah Kidul,683,850,826,743,869,800,722,801,744,642,554,406,258,206,110,133
Bandung Kulon,Cigondewah Rahayu,740,987,898,848,960,952,870,900,812,705,623,495,317,184,104,123
Bandung Kulon,Cijerah,1688,2083,2107,1949,1996,1865,1692,2008,2168,1950,1606,1130,904,619,370,444
Bandung Kulon,Gempolsari,1511,1844,1776,1687,1782,1889,1745,1810,1702,1575,1353,1229,968,496,247,249
Bandung Kulon,Warung Muncang,1631,1936,1960,1841,1745,1714,1525,1806,1797,1522,1186,950,748,472,288,306
Bandung Wetan,Cihapit,173,250,291,286,253,283,278,293,316,276,239,251,267,235,157,272
Bandung Wetan,Citarum,82,101,157,152,149,144,129,146,172,178,191,148,136,109,98,163
Bandung Wetan,Tamansari,1412,1729,1852,1689,1788,1659,1583,1787,1773,1657,1622,1291,945,746,380,576
Batununggal,Binong,1385,1694,1644,1555,1458,1574,1339,1525,1574,1410,1212,929,678,494,255,292
Batununggal,Cibangkong,1216,1474,1513,1491,1465,1440,1275,1410,1440,1417,1200,1070,742,529,268,404
Batununggal,Gumuruh,1219,1554,1671,1516,1555,1529,1287,1512,1626,1519,1261,991,787,561,363,479
Batununggal,Kacapiring,550,701,705,733,712,716,638,630,698,749,703,556,415,305,149,295
Batununggal,Kebongedang,626,795,853,799,762,744,595,751,811,784,662,548,403,310,136,222
Batununggal,Kebonwaru,976,1215,1214,1179,1235,1197,981,1107,1093,1135,1042,896,577,400,232,280
Batununggal,Maleer,1261,1450,1428,1408,1418,1438,1255,1366,1352,1199,1159,961,709,499,240,299
Batununggal,Samoja,920,1082,1159,1110,1064,1074,910,1105,994,949,895,704,498,368,188,239
Bojongloa Kaler,Babakan Asih,1107,1373,1454,1320,1331,1269,1160,1349,1270,1232,1059,825,681,455,259,296
Bojongloa Kaler,Babakan Tarogong,2107,2573,2613,2263,2394,2353,2135,2465,2374,2042,1702,1352,1130,808,392,417
Bojongloa Kaler,Jamika,1877,2441,2408,2234,2250,2052,1931,2299,2229,2008,1743,1459,1162,860,489,567
Bojongloa Kaler,Kopo,2304,2766,2811,2643,2432,2523,2328,2762,2539,2148,1848,1417,1102,814,386,484
Bojongloa Kaler,Suka Asih,1494,1687,1759,1594,1565,1546,1420,1565,1558,1451,1132,956,781,537,286,299
Bojongloa Kidul,Cibaduyut,987,1228,1204,1121,1086,1064,964,1150,1092,966,726,537,399,253,129,108
Bojongloa Kidul,Cibaduyut Kidul,701,914,848,790,735,825,686,811,741,685,494,378,282,211,111,101
Bojongloa Kidul,Cibaduyut Wetan,567,764,815,733,659,618,620,719,785,705,541,315,245,171,127,127
Bojongloa Kidul,Kebon Lega,1694,2097,2043,1847,1825,1907,1738,2067,2029,1786,1377,1164,972,734,383,522
Bojongloa Kidul,Mekarwangi,732,992,981,909,834,869,750,972,925,824,625,520,349,241,141,155
Bojongloa Kidul,Situsaeur,1518,1824,1856,1647,1700,1676,1544,1761,1703,1526,1374,1167,862,650,378,452
Buahbatu,Cijaura,2070,2477,2399,2228,2240,2265,2085,2324,2363,2035,1702,1387,1112,830,454,445
Buahbatu,Jatisari,589,730,676,628,784,753,719,715,681,631,615,565,458,325,161,154
Buahbatu,Margasari,2816,3597,3525,3216,3195,3143,2946,3259,3392,3009,2476,1979,1461,1089,672,712
Buahbatu,Sekejati,1822,1982,1851,1792,2018,2272,2131,1858,1771,1648,1564,1703,1308,824,381,422
Cibeunying Kaler,Cigadung,2250,2683,2599,2381,2510,2662,2515,2636,2600,2280,1834,1642,1334,1035,492,658
Cibeunying Kaler,Cihaur Geulis,708,904,1057,1055,1026,899,800,926,1023,1052,1019,770,555,379,217,331
Cibeunying Kaler,Neglasari,632,777,846,709,752,743,663,750,826,705,652,479,381,289,181,264
Cibeunying Kaler,Sukaluyu,968,1236,1297,1210,1270,1241,1161,1193,1315,1182,1173,922,676,485,291,459
Cibeunying Kidul,Cicadas,1117,1398,1403,1329,1329,1194,1127,1291,1335,1268,1086,836,600,368,236,324
Cibeunying Kidul,Cikutra,1456,1862,1985,1850,1724,1686,1527,1832,1816,1803,1582,1115,1019,678,442,629
Cibeunying Kidul,Padasuka,1162,1398,1445,1414,1335,1364,1223,1378,1432,1299,1139,895,764,516,245,358
Cibeunying Kidul,Pasirlayung,1607,2001,1855,1720,1725,1760,1670,1870,1909,1510,1349,1202,958,751,337,388
Cibeunying Kidul,Sukamaju,695,895,928,830,861,861,777,822,880,847,789,705,558,405,200,290
Cibeunying Kidul,Sukapada,1609,1931,1886,1834,1820,1818,1699,1867,1744,1589,1435,1183,1027,665,276,329
Cibiru,Pasir Biru,1251,1481,1512,1380,1248,1352,1175,1288,1367,1163,991,753,533,343,149,191
Cibiru,Palasari,1648,1853,1893,1835,1860,1813,1727,1625,1740,1621,1492,1199,809,521,234,263
Cibiru,Cisurupan,1146,1355,1189,1200,1137,1202,1083,1089,1049,967,802,644,465,325,140,197
Cibiru,Cipadung,1744,2018,1967,1883,1945,2011,1623,1789,1815,1643,1461,1150,817,566,264,283
Cicendo,Arjuna,776,917,930,930,931,1005,887,998,974,945,878,818,666,529,337,502
Cicendo,Husen Sastranegara,1139,1370,1434,1394,1393,1292,1124,1273,1250,1229,1083,901,657,432,231,280
Cicendo,Pajajaran,1843,2207,2261,2200,2058,2016,1721,2111,2269,1938,1582,1299,994,706,382,450
Cicendo,Pamoyanan,425,546,554,540,524,553,556,610,651,558,528,468,419,363,212,359
Cicendo,Pasir Kaliki,527,624,677,666,639,647,638,736,725,654,630,556,480,358,268,384
Cicendo,Sukaraja,1590,1974,1992,2018,1918,1913,1715,1834,1892,1852,1539,1209,897,607,340,402
Cidadap,Ciumbuleuit,1791,2052,1956,1884,1890,1982,1709,1850,1797,1627,1408,1143,932,679,323,464
Cidadap,Hegarmanah,1241,1588,1662,1462,1541,1564,1461,1647,1559,1533,1340,1141,922,644,392,499
Cidadap,Ledeng,760,881,917,824,850,868,742,904,817,791,714,551,389,303,191,263
Cinambo,Babakan Penghulu,556,649,634,593,594,616,536,600,677,588,431,339,247,168,63,86
Cinambo,Pakemitan,520,542,514,475,594,646,549,484,496,453,399,262,210,129,67,93
Cinambo,Sukamulya,381,491,505,407,454,471,370,468,434,421,343,251,212,156,82,105
Cinambo,Cisaranten Wetan,469,599,534,487,464,490,427,470,559,476,342,268,218,151,81,69
Coblong,Cipaganti,713,919,953,959,863,938,851,851,961,889,770,654,498,362,226,274
Coblong,Dago,2466,2843,2867,2750,2769,2797,2609,2887,2629,2411,2170,1756,1404,1067,532,792
Coblong,Lebakgede,721,889,915,730,774,814,772,922,952,791,738,574,452,389,250,345
Coblong,Lebak Siliwangi,269,300,333,287,333,305,323,287,297,286,257,230,175,133,69,102
Coblong,Sadangserang,1767,2278,2188,2174,2033,2099,1872,2152,2058,1939,1752,1508,1040,805,421,565
Coblong,Sekeloa,1915,2287,2241,2020,1967,2125,2010,2229,2154,1936,1768,1358,1055,800,458,643
Gedebage,Cimenerang,309,394,428,364,343,334,275,346,402,371,257,150,118,77,32,35
Gedebage,Cisantren Kidul,1597,1735,1613,1467,1629,1798,1664,1640,1647,1383,1237,1153,969,650,327,434
Gedebage,Rancabolang,787,1073,1133,932,818,683,738,969,1122,945,697,425,281,184,92,103
Gedebage,Rancanumpang,310,384,487,590,540,354,283,280,374,491,458,259,146,97,42,43
Kiaracondong,Babakansari,2701,3361,3316,2997,2984,2989,2759,3354,3236,2856,2371,2017,1568,1178,597,638
Kiaracondong,Babakan Surabaya,1529,1743,1776,1661,1671,1742,1540,1599,1639,1509,1304,1065,753,544,324,295
Kiaracondong,Cicaheum,1271,1454,1440,1431,1444,1397,1273,1397,1411,1240,1121,968,710,510,231,295
Kiaracondong,Kebon Jayanti,910,1093,1113,1052,1101,1022,916,927,1045,1053,932,739,520,373,214,293
Kiaracondong,Kebon Kangkung,805,1045,1106,985,1032,964,845,986,1042,985,862,647,545,405,205,280
Kiaracondong,Sukapura,2028,2297,2342,2209,2295,2259,2032,2137,2204,2079,1910,1512,1181,744,391,442
Lengkong,Burangrang,627,764,775,778,698,756,708,804,785,717,671,579,464,313,239,311
Lengkong,Cijagra,711,894,1002,1029,952,826,805,881,888,916,862,661,524,410,262,391
Lengkong,Cikawao,571,671,748,709,656,702,617,675,712,676,595,538,433,282,173,230
Lengkong,Lingkar Selatan,660,734,761,806,1017,951,720,693,738,773,814,612,348,229,154,294
Lengkong,Malabar,521,618,634,621,638,603,617,662,646,602,518,487,406,338,207,322
Lengkong,Paledang,331,433,443,423,470,457,413,483,494,439,445,392,310,288,174,241
Lengkong,Turangga,764,1040,1258,1330,1237,1005,923,1017,1137,1182,1186,904,651,512,372,707
Mandalajati,Jatihandap,2051,2482,2395,2060,2019,2126,1974,2246,2261,1788,1544,1245,989,700,319,365
Mandalajati,Karang Pamulang,1438,1666,1589,1504,1442,1548,1548,1493,1399,1250,1100,957,724,481,202,229
Mandalajati,Pasir Impun,1074,1207,1141,1044,1101,1118,987,1067,985,893,746,605,486,312,160,180
Mandalajati,Sindang Jaya,1010,1313,1282,1203,1075,1172,1055,1184,1217,1071,894,698,599,468,238,230
Panyileukan,Mekar Mulya,671,635,527,420,490,700,767,688,445,347,341,539,512,225,65,63
Panyileukan,Cipadung Wetan,274,329,281,294,318,276,244,282,304,253,209,175,125,94,32,48
Panyileukan,Cipadung Kulon,1050,1183,1119,1098,1200,1284,1077,1051,996,933,841,790,565,371,149,166
Panyileukan,Cipadung Kidul,1008,1093,1032,1200,1445,1576,1274,983,890,944,1195,1255,888,394,168,183
Rancasari,Cipamokolan,1878,2175,2003,1880,1958,2016,2010,1983,1913,1788,1541,1283,1008,692,341,373
Rancasari,Derwati,1405,1563,1542,1519,1712,1746,1455,1375,1460,1328,1303,1168,758,455,197,246
Rancasari,Munjahlega,1567,1709,1672,1408,1607,1613,1705,1857,1724,1504,1270,1071,1013,1062,649,711
Rancasari,Mekarmulya,1469,1866,1794,1569,1447,1388,1454,1600,1667,1513,1182,836,614,486,292,249
Regol,Ancol,680,866,871,886,903,859,841,876,960,852,812,668,532,451,315,394
Regol,Balonggede,529,627,637,525,579,587,586,714,683,593,532,490,389,348,247,306
Regol,Ciateul,392,505,577,565,617,541,508,530,591,596,557,484,334,271,196,310
Regol,Cigereleng,718,875,877,814,886,931,840,884,981,854,815,750,622,521,331,409
Regol,Ciseureuh,1163,1364,1485,1286,1373,1305,1114,1352,1324,1242,1053,821,647,468,267,346
Regol,Pasirluyu,1207,1479,1429,1439,1393,1335,1109,1440,1404,1253,1035,801,651,441,274,275
Regol,Pungkur,414,500,557,501,563,607,479,549,580,545,541,483,399,332,218,298
Sukajadi,Cipedes,2078,2491,2630,2394,2339,2378,2194,2531,2339,2165,1900,1489,1178,876,428,478
Sukajadi,Pasteur,1179,1380,1425,1442,1413,1390,1266,1407,1411,1345,1240,1054,827,627,377,505
Sukajadi,Sukabungah,1514,1763,1805,1766,1685,1646,1517,1695,1754,1582,1374,1133,924,672,376,502
Sukajadi,Sukagalih,1303,1542,1513,1452,1318,1488,1461,1649,1512,1344,1064,829,740,564,388,391
Sukajadi,Sukawarna,1028,1190,1189,1066,1023,1191,1085,1220,1108,1053,806,726,600,456,255,328
Sukasari,Gegerkalong,1505,1814,1921,1748,1874,1742,1663,1750,1879,1776,1620,1165,1000,728,496,694
Sukasari,Isola,978,1094,1130,1055,1064,1029,1012,1147,1023,982,831,720,566,435,221,279
Sukasari,Sarijadi,1797,2197,2195,1950,2049,2085,2024,2181,2222,2013,1813,1438,1143,869,631,781
Sukasari,Sukarasa,868,1042,1106,1006,1085,1070,973,1049,1039,1003,847,670,511,403,294,306
Sumur Bandung,Babakan Ciamis,511,648,731,693,684,558,562,636,718,624,565,499,340,266,130,206
Sumur Bandung,Braga,333,422,504,449,449,434,424,461,505,425,413,324,272,286,186,220
Sumur Bandung,Kebon Pisang,714,899,1062,1024,991,914,785,911,969,932,833,696,551,383,231,321
Sumur Bandung,Merdeka,695,824,972,961,999,913,824,771,738,818,704,584,401,227,155,264
Ujung Berung,Cigending,1207,1408,1493,1384,1347,1331,1189,1313,1324,1210,1054,916,722,492,247,257
Ujung Berung,Pasanggrahan,1562,1867,1810,1669,1712,1677,1555,1623,1525,1496,1295,957,667,447,274,330
Ujung Berung,Pasir Endah,1245,1481,1405,1330,1277,1379,1284,1407,1338,1152,1081,835,733,507,276,272
Ujung Berung,Pasirwangi,1430,1637,1573,1361,1297,1453,1300,1476,1362,1220,1008,724,537,348,185,202
Ujung Berung,Pasirjati,1293,1625,1606,1477,1454,1374,1277,1436,1460,1300,1073,807,569,410,178,228
